,activity,fatal_(y/n)
1544,surfing,no
1545,surfing,no
1546,surfing,no
1547,surfing,no
1548,surfing,no
1549,surfing,yes
1550,,no
1551,,no
1552,surfing,no
1553,surfing,no
1554,,yes
1555,swimming,yes
1556,surfing,no
1557,,no
1558,swimming,no
1559,,no
1560,,no
1561,surfing,no
1562,swimming,no
1563,fishing,no
1564,,no
1565,surfing,no
1566,surfing,no
1567,swimming,no
1568,swimming,no
1569,,no
1570,swimming,no
1571,boat,no
1572,,no
1573,fishing,no
1574,swimming,yes
1575,swimming,yes
1576,surfing,no
1577,swimming,no
1578,swimming,no
1579,swimming,no
1580,,no
1581,surfing,no
1582,swimming,yes
1583,,no
1584,swimming,no
1585,,no
1586,surfing,no
1587,fishing,no
1588,,no
1589,fishing,no
1590,,no
1591,surfing,no
1592,fishing,no
1593,,no
1594,fishing,no
1595,surfing,no
1596,,no
1597,surfing,no
1598,surfing,no
1599,,no
1600,swimming,no
1601,surfing,no
1602,surfing,no
1603,surfing,no
1604,swimming,yes
1605,swimming,no
1606,,no
1607,fishing,no
1608,swimming,no
1609,swimming,no
1610,fishing,no
1611,surfing,no
1612,fishing,no
1613,surfing,no
1614,swimming,no
1615,fishing,no
1616,boat,no
1617,fishing,no
1618,,no
1619,surfing,yes
1620,fishing,yes
1621,surfing,no
1622,,no
1623,swimming,yes
1624,surfing,no
1625,swimming,no
1626,swimming,no
1627,swimming,no
1628,,no
1629,,no
1630,surfing,no
1631,surfing,no
1632,fishing,no
1633,surfing,no
1634,,no
1635,surfing,no
1636,surfing,no
1637,fishing,no
1638,surfing,no
1639,surfing,no
1640,swimming,yes
1641,,no
1642,,no
1643,swimming,no
1644,surfing,no
1645,swimming,yes
1646,swimming,no
1647,fishing,no
1648,fishing,no
1649,surfing,no
1650,swimming,no
1651,surfing,no
1652,swimming,no
1653,swimming,no
1654,fishing,no
1655,fishing,no
1656,fishing,no
1657,surfing,yes
1658,swimming,no
1659,,no
1660,surfing,no
1661,fishing,no
1662,swimming,no
1663,,no
1664,swimming,no
1665,swimming,yes
1666,,no
1667,swimming,no
1668,surfing,no
1669,swimming,no
1670,swimming,no
1671,,no
1672,,no
1673,swimming,no
1674,surfing,no
1675,swimming,yes
1676,swimming,no
1677,fishing,no
1678,fishing,yes
1679,fishing,yes
1680,surfing,yes
1681,surfing,no
1682,surfing,no
1683,,no
1684,surfing,no
1685,,no
1686,surfing,no
1687,surfing,no
1688,swimming,no
1689,swimming,no
1690,fishing,no
1691,surfing,no
1692,fishing,no
1693,swimming,yes
1694,surfing,no
1695,swimming,no
1696,swimming,no
1697,swimming,yes
1698,swimming,no
1699,swimming,no
1700,surfing,no
1701,,no
1702,swimming,no
1703,fishing,no
1704,surfing,no
1705,swimming,no
1706,surfing,no
1707,fishing,no
1708,fishing,yes
1709,surfing,no
1710,,no
1711,swimming,no
1712,swimming,no
1713,swimming,yes
1714,surfing,no
1715,swimming,no
1716,swimming,no
1717,fishing,yes
1718,surfing,no
1719,surfing,no
1720,surfing,no
1721,swimming,no
1722,surfing,no
1723,,no
1724,fishing,no
1725,surfing,no
1726,surfing,no
1727,surfing,no
1728,surfing,no
1729,swimming,no
1730,surfing,no
1731,swimming,yes
1732,surfing,no
1733,surfing,no
1734,surfing,no
1735,surfing,no
1736,fishing,no
1737,boat,yes
1738,surfing,no
1739,surfing,no
1740,surfing,no
1741,surfing,no
1742,surfing,no
1743,fishing,no
1744,swimming,no
1745,,no
1746,,no
1747,,yes
1748,fishing,no
1749,fishing,no
1750,swimming,yes
1751,swimming,no
1752,surfing,no
1753,surfing,no
1754,surfing,no
1755,,no
1756,fishing,no
1757,surfing,no
1758,surfing,no
1759,fishing,no
1760,fishing,no
1761,fishing,no
1762,swimming,no
1763,surfing,no
1764,surfing,no
1765,,yes
1766,,no
1767,swimming,no
1768,swimming,no
1769,surfing,no
1770,surfing,no
1771,swimming,no
1772,surfing,no
1773,,no
1774,swimming,no
1775,surfing,no
1776,,no
1777,,no
1778,,no
