,activity,fatal_(y/n),month,australia,season
907,other_activities,no,june,,winter
908,fishing,no,june,,winter
909,surfing,yes,june,,winter
910,other_activities,yes,june,,winter
911,fishing,no,june,,winter
912,swimming,no,june,,winter
913,fishing,no,june,,winter
914,fishing,no,june,,winter
915,other_activities,no,june,,winter
916,swimming,no,june,,winter
917,other_activities,no,may,,autumn
918,surfing,no,may,,autumn
919,surfing,no,may,,autumn
920,other_activities,no,may,,autumn
921,fishing,yes,may,,autumn
922,surfing,no,may,,autumn
923,other_activities,yes,may,,autumn
924,surfing,no,may,,autumn
925,fishing,no,may,,autumn
926,fishing,no,may,,autumn
927,fishing,no,may,,autumn
928,fishing,no,april,,autumn
