,date,country,activity,fatal_(y/n),month,australia
395,03-jul-2015,australia,surfing,no,july,australia
396,02-jul-2015,australia,other_activities,no,july,australia
397,01-jul-2015,usa,swimming,no,july,
398,30-jun-2015,australia,surfing,no,june,australia
399,30-jun-2015,usa,other_activities,no,june,
400,27-jun-2015,usa,swimming,no,june,
401,27-jun-2015,south_africa,other_activities,no,june,
402,26-jun-2015,usa,swimming,no,june,
403,26-jun-2015,south_africa,surfing,no,june,
404,26-jun-2015,usa,other_activities,no,june,
405,reported_25-jun-2015,australia,swimming,no,june,australia
406,25-jun-2015,usa,surfing,no,june,
407,24-jun-2015,usa,swimming,no,june,
408,24-jun-2015,australia,surfing,no,june,australia
409,23-jun-2015,usa,other_activities,no,june,
410,19-jun-2015,puerto_rico,fishing,no,june,
411,17-jun-2015,usa,swimming,no,june,
412,14-jun-2015,usa,other_activities,no,june,
413,14-jun-2015,usa,other_activities,no,june,
414,13-jun-2015,usa,other_activities,no,june,
415,11-jun-2015,usa,other_activities,no,june,
416,07-jun-2015,usa,other_activities,no,june,
417,05-jun-2015,usa,other_activities,no,june,
418,01-jun-2015,reunion,surfing,no,june,
419,29-may-2015,usa,other_activities,no,may,
420,29-may-2015,usa,other_activities,no,may,
421,25-may-2015,french_polynesia,fishing,no,may,
422,24-may-2015,usa,swimming,no,may,
423,20-may2015,usa,surfing,no,may,
424,15-may-2015,usa,other_activities,no,may,
425,09-may-2015,new_caledonia,swimming,yes,may,
426,07-may-2015,usa,swimming,no,may,
427,03-may-2015,australia,surfing,no,may,australia
428,02-may-2015,south_africa,swimming,no,may,
429,29-apr-2015,usa,swimming,yes,april,
430,26-apr-2015,usa,other_activities,no,april,
431,25-apr-2015,australia,surfing,no,april,australia
432,24-jun-2015,australia,surfing,no,june,australia
433,13-apr-2015,usa,other_activities,no,april,
434,12-apr-2015,reunion,surfing,yes,april,
435,11-apr-2015,australia,other_activities,no,april,australia
436,03-apr-2015,usa,fishing,no,april,
437,29-mar-2015,italy,swimming,no,march,
438,31-mar-2015,brazil,surfing,no,march,
439,26-mar-2015,south_africa,fishing,no,march,
440,21-mar-2015,egypt,swimming,yes,march,
441,18-mar-2015,usa,swimming,no,march,
442,16-mar-2015,french_polynesia,other_activities,no,march,
443,11-mar-2015,australia,fishing,no,march,australia
444,10-mar-2015,mexico,fishing,no,march,
445,07-mar-2015,french_polynesia,other_activities,no,march,
446,15-feb-2015,atlantic_ocean,other_activities,no,february,
447,14-feb-2015,reunion,swimming,yes,february,
448,09-feb-2015,australia,surfing,yes,february,australia
449,08-feb-2015,australia,surfing,no,february,australia
450,05-feb-2015,australia,surfing,no,february,australia
451,30-jan-2015,australia,other_activities,no,january,australia
452,27-jan-2015,usa,fishing,no,january,
453,24-jan-2015,australia,surfing,no,january,australia
454,23-jan-2015,south_africa,other_activities,no,january,
455,19-jan-2015,usa,fishing,no,january,
456,19-jan-2015,australia,surfing,no,january,australia
457,17-jan-2015,australia,fishing,no,january,australia
458,16-jan-2015,australia,other_activities,no,january,australia
459,08-jan-2015,usa,swimming,no,january,
460,06-jan-2015,bahamas,swimming,no,january,
461,03-jan-2015,south_africa,surfing,no,january,
462,01-jan-2015,usa,other_activities,no,january,
463,29-dec-2014,australia,surfing,no,december,australia
464,29-dec-2014,australia,fishing,yes,december,australia
